DateTime,Temperature,Dewpoint,RH
5/18/2020 7:55,54,49,83
5/18/2020 6:55,51,49,93
5/18/2020 5:55,48,47,96
5/18/2020 4:55,48,48,100
5/18/2020 3:55,49,48,96
5/18/2020 2:55,49,48,96
5/18/2020 1:55,49,48,96
5/18/2020 0:55,50,48,93
5/17/2020 23:55,51,49,93
5/17/2020 22:55,52,48,86
5/17/2020 21:55,54,48,80
5/17/2020 20:55,58,46,64
5/17/2020 19:55,60,46,60
5/17/2020 18:55,63,47,56
5/17/2020 17:55,68,45,44
5/17/2020 16:55,69,47,45
5/17/2020 15:55,67,48,50
5/17/2020 14:55,65,48,54
5/17/2020 13:55,64,46,52
5/17/2020 12:55,66,52,61
5/17/2020 11:55,60,51,72
5/17/2020 10:55,59,53,80
5/17/2020 9:55,59,54,83
5/17/2020 8:55,56,54,93
5/17/2020 7:55,56,55,96
5/17/2020 6:55,55,54,96
5/17/2020 5:55,54,54,100
5/17/2020 4:55,54,53,96
5/17/2020 3:55,54,54,100
5/17/2020 2:55,55,54,96
5/17/2020 1:55,55,55,100
5/17/2020 0:55,56,55,96
5/16/2020 23:55,55,55,100
5/16/2020 22:55,56,55,96
5/16/2020 21:55,57,55,93
5/16/2020 20:55,59,56,90
5/16/2020 19:55,61,57,87
5/16/2020 18:55,63,55,75
5/16/2020 17:55,64,55,73
5/16/2020 16:55,62,56,81
5/16/2020 15:55,61,54,78
5/16/2020 14:55,59,54,83
5/16/2020 13:55,61,54,78
5/16/2020 12:55,59,52,78
5/16/2020 11:55,62,55,78
5/16/2020 10:55,60,54,81
5/16/2020 9:55,60,53,78
5/16/2020 8:55,56,50,80
5/16/2020 7:55,55,50,83
5/16/2020 6:55,54,51,90
5/16/2020 5:55,54,50,86
5/16/2020 4:55,54,50,86
5/16/2020 3:55,53,49,86
5/16/2020 2:55,52,48,86
5/16/2020 1:55,52,48,86
5/16/2020 0:55,51,47,86
5/15/2020 23:55,52,47,83
5/15/2020 22:55,54,47,77
5/15/2020 21:55,55,47,74
5/15/2020 20:55,58,46,64
5/15/2020 19:55,68,46,45
5/15/2020 18:55,71,46,41
5/15/2020 17:55,67,43,42
5/15/2020 16:55,69,44,40
5/15/2020 15:55,69,45,42
5/15/2020 14:55,66,44,45
5/15/2020 13:55,63,45,52
5/15/2020 12:55,64,46,52
5/15/2020 11:55,62,47,58
5/15/2020 9:55,60,49,67
5/15/2020 8:55,56,49,77
